순위,영화명,개봉일,예매점유율,예매매출액,누적매출액,예매관객수,누적관객수
39,프라하 블타바 강변 콘서트,,0.0%,3084700 ,9630300 ,132 ,409 
40,디 아워즈,,0.0%,3371300 ,0 ,114 ,0 
41,특수본,2011-11-24,0.0%,800000 ,8096052500 ,100 ,1118258 
42,이니셰린의 밴시,2023-03-15,0.0%,716000 ,246458470 ,84 ,24371 
43,65,2023-04-20,0.0%,893400 ,116090230 ,83 ,11518 
44,카구야 님은 고백받고 싶어 -첫 키스는 끝나지 않아-,2023-04-06,0.0%,799700 ,233659900 ,79 ,20837 
45,라탈랑트,,0.0%,606000 ,2231000 ,77 ,363 
46,패왕별희 디 오리지널,2017-03-30,0.0%,513000 ,1189340978 ,74 ,127047 
47,신데렐라,,0.0%,2208100 ,0 ,73 ,0 
48,에어,2023-04-05,0.0%,470420 ,1048950063 ,62 ,108698 
49,빈 필하모닉 정기연주회: 주빈 메타 & 마르타 아르헤리치,,0.0%,1475000 ,3136500 ,59 ,129 
49,애프터썬,2023-02-01,0.0%,442000 ,471301238 ,59 ,48369 
49,더 웨일,2023-03-01,0.0%,427500 ,549046234 ,59 ,55795 
49,모나리자와 블러드 문,2023-03-22,0.0%,353000 ,190411110 ,59 ,21322 
53,살룸의 하이에나,2023-04-20,0.0%,338000 ,683000 ,58 ,117 
54,물안에서,2023-04-12,0.0%,436000 ,27119098 ,55 ,2886 
55,제10회 미쟝센 단편영화제-전년도 수상작,,0.0%,322000 ,250000 ,50 ,50 
56,제10회 미쟝센 단편영화제-MSFF PEOPLE 특별상영,2011-06-24,0.0%,320000 ,0 ,49 ,0 
57,롱디,,0.0%,541500 ,6063000 ,43 ,861 
57,여자가 계단을 오를 때,,0.0%,269000 ,4113000 ,43 ,725 
59,프로메어,2022-10-20,0.0%,483797 ,245703937 ,42 ,22303 
60,날씨의 아이,2019-10-30,0.0%,325000 ,6161254902 ,41 ,747568 
61,낭만적 공장,2023-04-19,0.0%,368500 ,10070155 ,40 ,1062 
62,에브리씽 에브리웨어 올 앳 원스,2022-10-12,0.0%,386000 ,3874572829 ,38 ,365459 
62,TAR 타르,2023-02-22,0.0%,279198 ,373050742 ,38 ,37258 
64,사랑의 고고학,2023-04-12,0.0%,329000 ,22654458 ,36 ,2435 
64,뽀로로 극장판 드래곤캐슬 대모험,2022-07-28,0.0%,252000 ,4193075275 ,36 ,447885 
66,극장판 헬로카봇: 수상한 마술단의 비밀,2022-09-28,0.0%,245000 ,2140440817 ,35 ,228386 
67,불운의 사랑,,0.0%,196000 ,559000 ,34 ,89 
68,제10회 미쟝센 단편영화제-각양각색 배우열전 3,,0.0%,205000 ,105000 ,32 ,21 
68,정사,,0.0%,205000 ,484000 ,32 ,104 
68,콜 제인,2023-03-08,0.0%,200000 ,43530294 ,32 ,4587 
68,X같은 상사의 연하 와이프,,0.0%,192000 ,0 ,32 ,0 
68,만국,,0.0%,181000 ,2718000 ,32 ,452 
73,시티 오브 갓,2005-11-04,0.0%,465000 ,65780140 ,31 ,9381 
73,코퍼스 칼로섬,,0.0%,186000 ,51000 ,31 ,9 
75,오토라는 남자,2023-03-29,0.0%,279599 ,338049732 ,30 ,37713 
76,에브리씽 에브리웨어 올 앳 원스+,2023-03-01,0.0%,242028 ,1122243308 ,29 ,109473 
76,내 친구의 집은 어디인가,1996-08-17,0.0%,202000 ,12420000 ,29 ,1702 
76,욕망의 모호한 대상,1999-03-27,0.0%,184000 ,796000 ,29 ,114 
79,해피 투게더,1998-08-22,0.0%,243500 ,505748025 ,27 ,54191 
79,언어의 정원,2013-08-14,0.0%,196500 ,537230051 ,27 ,80222 
79,지난 해 마리앙바드에서,,0.0%,174000 ,3920000 ,27 ,657 
79,인디아 송,,0.0%,168000 ,3587000 ,27 ,546 
79,아내여 장미처럼,,0.0%,162000 ,1337000 ,27 ,267 
84,귀를 기울이면,2023-04-19,0.0%,252000 ,29197500 ,26 ,3657 
84,불멸의 여자,2023-04-05,0.0%,71000 ,13346696 ,26 ,1349 
86,여섯 개의 밤,2023-03-29,0.0%,153000 ,14272597 ,25 ,1674 
87,킹 오브 프리즘 - 프라이드 더 히어로,2017-06-10,0.0%,217500 ,1095875300 ,24 ,130696 
87,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,2020-04-02,0.0%,213728 ,108908406 ,24 ,13439 
87,치킨래빗: 잃어버린 보물을 찾아서,2023-03-18,0.0%,181000 ,641567500 ,24 ,71002 
87,그리고 삶은 계속된다,1998-03-14,0.0%,162000 ,2780500 ,24 ,394 
91,헤어질 결심,2022-06-29,0.0%,212000 ,19678304478 ,22 ,1897733 
91,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,0.0%,195300 ,1015608149 ,22 ,122356 
93,자전거 탄 소년,2012-01-19,0.0%,221500 ,202144800 ,21 ,25641 
93,튤립 모양,2023-04-19,0.0%,189500 ,3257400 ,21 ,337 
95,바빌론,2023-02-01,0.0%,166000 ,2112222105 ,20 ,210353 
95,신음 소리 토해내는 여자 손님,,0.0%,100000 ,0 ,20 ,0 
95,형님에게 빼앗긴 여친,,0.0%,100000 ,0 ,20 ,0 
