"프레임.인덱스","차량.ID","위도","경도","East..TM.좌표.","North..TM.좌표.","차선","차선변경여부"
3140,"127",36.45822373,127.2808118,225171.7451,428927.3394,3,0
3141,"127",36.45821269,127.2808232,225172.8033,428926.0817,3,0
3142,"127",36.45820166,127.2808346,225173.8686,428924.8171,3,0
3143,"127",36.45818946,127.2808473,225174.9643,428923.5161,3,0
3144,"127",36.45817743,127.2808598,225176.0588,428922.2148,3,0
3145,"127",36.4581664,127.2808711,225177.1515,428920.9139,3,0
3146,"127",36.4581542,127.2808838,225178.2425,428919.6107,3,0
3147,"127",36.45814212,127.2808962,225179.334,428918.3074,3,0
3148,"127",36.45813107,127.2809075,225180.4253,428917.0029,3,0
3149,"127",36.45811885,127.2809202,225181.5175,428915.7015,3,0
3150,"127",36.45810685,127.2809326,225182.6097,428914.4017,3,0
3151,"127",36.45809585,127.280944,225183.7005,428913.1019,3,0
3152,"127",36.45808362,127.2809566,225184.79,428911.8017,3,0
3153,"127",36.45807161,127.2809689,225185.8788,428910.4999,3,0
3154,"127",36.45806057,127.2809803,225186.9683,428909.1969,3,0
3155,"127",36.45804831,127.2809929,225188.0267,428907.929,3,0
3156,"127",36.45803725,127.2810042,225189.1128,428906.6247,3,0
3157,"127",36.45802522,127.2810165,225190.1579,428905.3664,3,0
3158,"127",36.45801421,127.2810277,225191.2393,428904.0643,3,0
3159,"127",36.45800196,127.2810403,225192.3213,428902.7616,3,0
3160,"127",36.45798992,127.2810526,225193.4714,428901.3764,3,0
3161,"127",36.45797667,127.2810661,225194.6203,428899.9917,3,0
3162,"127",36.45796444,127.2810786,225195.8055,428898.5643,3,0
3163,"127",36.45795123,127.2810921,225196.9534,428897.1833,3,0
3164,"127",36.45793925,127.2811044,225198.1323,428895.768,3,0
3165,"127",36.45792608,127.2811179,225199.3431,428894.3075,3,0
3166,"127",36.45791165,127.2811325,225200.5864,428892.8027,3,0
3167,"127",36.45789847,127.2811458,225201.8216,428891.2973,3,0
3168,"127",36.45788529,127.2811591,225203.0499,428889.8001,3,0
3169,"127",36.45787108,127.2811734,225204.2764,428888.305,3,0
3170,"127",36.45785795,127.2811868,225205.5042,428886.8106,3,0
3171,"127",36.45784479,127.2812,225206.6983,428885.3553,3,0
3172,"127",36.45783164,127.2812133,225207.8597,428883.935,3,0
3173,"127",36.45781947,127.2812255,225208.9847,428882.5598,3,0
3174,"127",36.45780753,127.2812376,225210.0812,428881.2214,3,0
3175,"127",36.45779537,127.2812498,225211.1705,428879.8938,3,0
3176,"127",36.45778349,127.2812618,225212.2655,428878.5597,3,0
3177,"127",36.45777137,127.2812741,225213.3894,428877.191,3,0
3178,"127",36.45775828,127.2812873,225214.5487,428875.7789,3,0
3179,"127",36.45774522,127.2813005,225215.7349,428874.3319,3,0
3180,"127",36.45773216,127.2813136,225216.8835,428872.9303,3,0
3181,"127",36.4577203,127.2813256,225218.0321,428871.5277,3,0
3182,"127",36.45770721,127.2813388,225219.1505,428870.1594,3,0
3183,"127",36.45769508,127.2813509,225220.2674,428868.7903,3,0
3184,"127",36.4576832,127.2813629,225221.3513,428867.4555,3,0
